Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000006C1,false,Rx,0,1,05,00,00,00,00,00,00,00,
728000,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
728000,00000158,false,Rx,0,8,20,90,06,CC,20,90,DE,1A,
729000,00000188,false,Rx,0,6,05,05,80,08,00,49,00,00,
730000,000001C0,false,Rx,0,7,00,00,00,00,00,00,29,00,
0,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,3D,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
0,0000013F,false,Rx,0,8,FF,82,00,77,00,14,00,37,
0,00000156,false,Rx,0,6,00,22,00,00,07,3E,00,00,
731000,0000017C,false,Rx,0,8,00,00,06,CF,02,00,00,3E,
731000,00000097,false,Rx,0,8,81,20,50,01,FB,00,00,3A,
732000,0000015A,false,Rx,0,8,00,00,FF,79,00,00,00,19,
732000,0000018E,false,Rx,0,3,00,04,1C,00,00,00,00,00,
737000,000001A6,false,Rx,0,8,02,00,00,68,18,00,00,3B,
737000,00000294,false,Rx,0,8,00,15,00,03,EE,80,20,0A,
0,00000309,false,Rx,0,8,22,33,00,00,00,57,00,7F,
0,00000374,false,Rx,0,7,00,00,00,00,00,00,37,00,
738000,00000377,false,Rx,0,8,04,10,58,FA,2A,00,82,33,
738000,00000378,false,Rx,0,8,07,90,F2,23,50,20,00,36,
0,00000158,false,Rx,0,8,20,8A,06,CA,20,8A,DE,29,
0,00000188,false,Rx,0,6,05,05,80,08,00,58,00,00,
739000,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
740000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,00,
740000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
741000,0000013F,false,Rx,0,8,FF,82,00,77,00,00,00,0F,
741000,00000156,false,Rx,0,6,00,22,00,00,07,01,00,00,
0,0000017C,false,Rx,0,8,00,00,06,CF,02,00,00,01,
0,00000097,false,Rx,0,8,81,60,50,01,FE,00,00,06,
0,000001DC,false,Rx,0,4,02,06,CF,0B,00,00,00,00,
742000,0000015A,false,Rx,0,8,00,00,FF,79,00,00,00,28,
0,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,19,
0,0000018E,false,Rx,0,3,00,02,2D,00,00,00,00,00,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,1F,
0,000001B0,false,Rx,0,7,80,D0,7F,FF,00,00,12,00,
0,000001D0,false,Rx,0,8,42,3E,84,65,08,BA,10,3B,
0,000001E7,false,Rx,0,4,1A,40,68,14,00,00,00,00,
748000,00000158,false,Rx,0,8,20,87,06,C7,20,87,DE,31,
749000,00000188,false,Rx,0,6,05,05,80,08,00,67,00,00,
0,000001C0,false,Rx,0,7,00,00,00,00,00,00,38,00,
0,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,1F,
0,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
0,0000013F,false,Rx,0,8,FF,82,00,78,FF,CE,00,15,
751000,00000156,false,Rx,0,6,00,22,00,01,07,1F,00,00,
0,0000017C,false,Rx,0,8,00,00,06,CA,02,00,00,15,
0,00000097,false,Rx,0,8,81,60,50,01,FC,00,00,17,
0,0000015A,false,Rx,0,8,00,00,FF,79,00,00,00,37,
0,0000018E,false,Rx,0,3,00,0A,34,00,00,00,00,00,
756000,000001A6,false,Rx,0,8,02,00,00,68,18,00,00,0E,
0,00000158,false,Rx,0,8,20,89,06,C9,20,89,DF,0D,
0,00000188,false,Rx,0,6,05,05,80,08,00,76,00,00,
0,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,2E,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
760000,0000013F,false,Rx,0,8,FF,82,00,78,00,00,00,2C,
760000,00000156,false,Rx,0,6,00,22,00,01,07,2E,00,00,
0,0000017C,false,Rx,0,8,00,00,06,CA,02,00,00,24,
0,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
0,00000097,false,Rx,0,8,81,60,50,01,FB,00,00,27,
0,000001DC,false,Rx,0,4,02,06,CA,1F,00,00,00,00,
762000,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,01,
762000,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,28,
0,0000018E,false,Rx,0,3,00,03,0E,00,00,00,00,00,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,2E,
0,000001B0,false,Rx,0,7,81,10,7F,FF,00,00,2C,00,
763000,000001D0,false,Rx,0,8,42,38,84,89,08,A2,10,70,
763000,000001E7,false,Rx,0,4,1A,40,69,22,00,00,00,00,
768000,00000158,false,Rx,0,8,20,82,06,CA,20,82,DF,19,
768000,00000188,false,Rx,0,6,05,05,80,08,00,49,00,00,
769000,000001C0,false,Rx,0,7,00,00,00,00,00,00,0B,00,
770000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,3D,
770000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
770000,0000013F,false,Rx,0,8,FF,82,00,78,00,00,00,3B,
770000,00000156,false,Rx,0,6,00,22,00,00,07,3E,00,00,
770000,0000017C,false,Rx,0,8,00,00,06,CA,02,00,00,33,
771000,00000097,false,Rx,0,8,81,60,50,01,FA,00,00,37,
0,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,10,
0,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
0,0000018E,false,Rx,0,3,00,00,10,00,00,00,00,00,
776000,000001A6,false,Rx,0,8,02,00,00,68,18,00,00,1D,
776000,00000294,false,Rx,0,8,00,15,00,03,EE,80,20,19,
778000,00000158,false,Rx,0,8,20,87,06,C7,20,87,DF,21,
778000,00000188,false,Rx,0,6,05,05,80,08,00,58,00,00,
780000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,00,
780000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
780000,0000013F,false,Rx,0,8,FF,83,00,79,FF,EC,00,04,
780000,00000156,false,Rx,0,6,00,22,00,01,07,00,00,00,
780000,0000017C,false,Rx,0,8,00,00,06,C8,02,00,00,08,
781000,00000097,false,Rx,0,8,81,20,50,01,FB,00,00,0D,
781000,000001DC,false,Rx,0,4,02,06,C8,20,00,00,00,00,
782000,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,2F,
782000,000001A4,false,Rx,0,8,00,6A,00,00,00,00,00,36,
782000,0000018E,false,Rx,0,3,00,04,2B,00,00,00,00,00,
782000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,6A,3C,
782000,000001B0,false,Rx,0,7,81,10,7F,FF,00,00,3B,00,
782000,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
0,000001D0,false,Rx,0,8,42,3E,84,19,08,DA,11,75,
0,000001E7,false,Rx,0,4,1A,40,68,32,00,00,00,00,
783000,00000305,false,Rx,0,2,0E,11,00,00,00,00,00,00,
0,00000158,false,Rx,0,8,20,8A,06,C9,20,8A,DF,38,
0,00000188,false,Rx,0,6,05,05,80,08,00,67,00,00,
789000,000001C0,false,Rx,0,7,00,00,00,00,00,00,1A,00,
789000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,1F,
791000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
791000,0000013F,false,Rx,0,8,FF,83,00,79,00,00,00,1B,
791000,00000156,false,Rx,0,6,00,22,00,01,07,1F,00,00,
791000,0000017C,false,Rx,0,8,00,00,06,C8,02,00,00,17,
791000,00000097,false,Rx,0,8,81,60,50,01,FB,00,00,18,
0,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,3E,
0,0000018E,false,Rx,0,3,00,04,3A,00,00,00,00,00,
794000,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
795000,0000033D,false,Rx,0,4,00,00,00,14,00,00,00,00,
796000,000001A6,false,Rx,0,8,02,00,00,68,18,00,00,2C,
798000,00000158,false,Rx,0,8,20,87,06,C8,20,87,DF,02,
798000,00000188,false,Rx,0,6,05,05,80,08,00,76,00,00,
800000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,2E,
800000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
800000,0000013F,false,Rx,0,8,FF,82,00,78,00,1E,00,2D,
800000,00000156,false,Rx,0,6,00,22,00,02,07,2D,00,00,
801000,0000017C,false,Rx,0,8,00,00,06,CB,02,00,00,23,
801000,000001DC,false,Rx,0,4,02,06,CB,3C,00,00,00,00,
801000,00000097,false,Rx,0,8,81,20,40,01,F8,00,00,2F,
802000,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,01,
802000,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,0A,
802000,0000018E,false,Rx,0,3,00,03,0E,00,00,00,00,00,
802000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,00,
802000,000001B0,false,Rx,0,7,81,10,7F,FF,00,00,0E,00,
803000,000001D0,false,Rx,0,8,42,32,84,0D,08,F2,10,75,
803000,000001E7,false,Rx,0,4,1A,40,68,05,00,00,00,00,
804000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
808000,00000158,false,Rx,0,8,20,7D,06,C7,20,7D,DF,18,
808000,00000188,false,Rx,0,6,05,05,80,08,00,49,00,00,
809000,000001C0,false,Rx,0,7,00,00,00,00,00,00,29,00,
809000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,3D,
810000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
810000,0000013F,false,Rx,0,8,FF,82,00,78,00,00,00,3B,
810000,00000156,false,Rx,0,6,00,22,00,00,07,3E,00,00,
810000,0000017C,false,Rx,0,8,00,00,06,CB,02,00,00,32,
811000,00000097,false,Rx,0,8,81,20,40,01,F9,00,00,3D,
0,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,10,
0,0000018E,false,Rx,0,3,00,00,10,00,00,00,00,00,
815000,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
816000,000001A6,false,Rx,0,8,02,00,00,68,17,00,00,3C,
816000,00000294,false,Rx,0,8,00,15,00,03,EE,80,20,28,
818000,00000158,false,Rx,0,8,20,79,06,C7,20,79,DF,2F,
818000,00000188,false,Rx,0,6,05,05,80,08,00,58,00,00,
0,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,00,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
0,0000013F,false,Rx,0,8,FF,83,00,79,FF,EC,00,04,
0,00000156,false,Rx,0,6,00,22,00,01,07,00,00,00,
0,0000017C,false,Rx,0,8,00,00,06,C9,02,00,00,07,
820000,00000097,false,Rx,0,8,81,20,40,01,FD,00,00,0C,
0,000001DC,false,Rx,0,4,02,06,C9,01,00,00,00,00,
0,0000030C,false,Rx,0,8,22,36,C6,FF,00,80,80,39,
821000,00000320,false,Rx,0,3,00,00,03,00,00,00,00,00,
0,00000324,false,Rx,0,8,79,2A,32,66,00,03,00,0F,
0,0000015A,false,Rx,0,8,00,00,FF,79,00,00,00,28,
0,0000018E,false,Rx,0,3,00,04,2B,00,00,00,00,00,
0,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,19,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,1F,
823000,000001B0,false,Rx,0,7,80,D0,7F,FF,00,00,12,00,
0,000001D0,false,Rx,0,8,42,18,84,19,08,8A,10,37,
0,000001E7,false,Rx,0,4,1A,00,68,18,00,00,00,00,
0,0000037C,false,Rx,0,8,E1,00,E1,31,00,00,00,00,
824000,000003D7,false,Rx,0,8,B0,00,00,00,00,00,00,06,
824000,00000406,false,Rx,0,5,00,00,00,03,38,00,00,00,
827000,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
828000,00000158,false,Rx,0,8,20,83,06,C7,20,83,DF,38,
828000,00000188,false,Rx,0,6,05,05,80,08,00,67,00,00,
830000,000001C0,false,Rx,0,7,00,00,00,00,00,00,38,00,
830000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,1F,
830000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
831000,0000013F,false,Rx,0,8,FF,83,00,79,00,00,00,1B,
831000,00000156,false,Rx,0,6,00,22,00,00,07,10,00,00,
831000,0000017C,false,Rx,0,8,00,00,06,C9,02,00,00,16,
831000,00000097,false,Rx,0,8,81,60,50,01,FE,00,00,15,
832000,0000015A,false,Rx,0,8,00,00,FF,79,00,00,00,37,
832000,0000018E,false,Rx,0,3,00,02,3C,00,00,00,00,00,
837000,000001A6,false,Rx,0,8,02,00,00,68,18,00,00,0E,
837000,00000309,false,Rx,0,8,22,1C,00,00,00,57,00,4B,
837000,00000374,false,Rx,0,7,00,00,00,00,00,00,0A,00,
837000,00000377,false,Rx,0,8,04,10,58,FA,2A,00,82,06,
837000,00000378,false,Rx,0,8,07,90,F2,23,50,20,00,09,
838000,00000405,false,Rx,0,8,00,02,00,00,00,00,00,2B,
0,00000428,false,Rx,0,7,00,00,00,00,00,00,28,00,
0,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
0,00000158,false,Rx,0,8,20,75,06,C8,20,75,DF,08,
838000,00000188,false,Rx,0,6,05,05,80,08,00,76,00,00,
840000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,2E,
840000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
841000,0000013F,false,Rx,0,8,FF,82,00,79,00,00,00,2B,
841000,00000156,false,Rx,0,6,00,22,00,00,07,2F,00,00,
841000,0000017C,false,Rx,0,8,00,00,06,C9,02,00,00,25,
841000,00000097,false,Rx,0,8,81,60,50,01,FC,00,00,26,
841000,000001DC,false,Rx,0,4,02,06,C9,10,00,00,00,00,
842000,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,01,
842000,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,28,
842000,0000018E,false,Rx,0,3,00,04,0D,00,00,00,00,00,
843000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,2E,
843000,000001B0,false,Rx,0,7,81,10,7F,FF,00,00,2C,00,
843000,000001D0,false,Rx,0,8,42,2C,84,19,08,02,0F,9E,
843000,000001E7,false,Rx,0,4,1A,40,68,23,00,00,00,00,
848000,00000158,false,Rx,0,8,20,76,06,C5,20,76,DF,18,
848000,00000188,false,Rx,0,6,05,05,80,08,00,49,00,00,
849000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
850000,000001C0,false,Rx,0,7,00,00,00,00,00,00,0B,00,
850000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,3D,
850000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
851000,0000013F,false,Rx,0,8,FF,83,00,79,FF,E2,00,3B,
0,00000156,false,Rx,0,6,00,22,00,01,07,3D,00,00,
0,0000017C,false,Rx,0,8,00,00,06,C6,02,00,00,37,
0,00000097,false,Rx,0,8,81,60,50,01,FB,00,00,36,
0,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,10,
0,0000018E,false,Rx,0,3,00,00,10,00,00,00,00,00,
857000,000001A6,false,Rx,0,8,02,00,00,68,18,00,00,1D,
857000,00000294,false,Rx,0,8,00,15,00,03,EE,80,20,37,
858000,00000158,false,Rx,0,8,20,80,06,C6,20,80,DF,20,
858000,00000188,false,Rx,0,6,05,05,80,08,00,58,00,00,
0,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,00,
0,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
860000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
861000,0000013F,false,Rx,0,8,FF,83,00,79,00,00,00,0C,
0,00000156,false,Rx,0,6,00,22,00,01,07,00,00,00,
0,0000017C,false,Rx,0,8,00,00,06,C6,02,00,00,0A,
0,00000097,false,Rx,0,8,81,60,50,01,FA,00,00,0A,
862000,000001DC,false,Rx,0,4,02,06,C6,22,00,00,00,00,
862000,00000421,false,Rx,0,5,00,00,00,01,3D,00,00,00,
862000,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,2F,
862000,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,37,
862000,0000018E,false,Rx,0,3,00,06,29,00,00,00,00,00,
863000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,3D,
863000,000001B0,false,Rx,0,7,81,10,7F,FF,00,00,3B,00,
0,000001D0,false,Rx,0,8,42,20,83,F5,08,8A,11,E9,
0,000001E7,false,Rx,0,4,1A,40,68,32,00,00,00,00,
868000,00000158,false,Rx,0,8,20,7B,06,C5,20,7B,DF,3C,
868000,00000188,false,Rx,0,6,05,05,80,08,00,67,00,00,
870000,000001C0,false,Rx,0,7,00,00,00,00,00,00,1A,00,
0,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,1F,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
871000,0000013F,false,Rx,0,8,FF,83,00,79,00,14,00,16,
871000,00000156,false,Rx,0,6,00,22,00,01,07,1F,00,00,
0,0000017C,false,Rx,0,8,00,00,06,C8,02,00,00,17,
0,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
0,00000097,false,Rx,0,8,81,60,50,01,FC,00,00,17,
0,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,3E,
0,0000018E,false,Rx,0,3,00,03,3B,00,00,00,00,00,
876000,000001A6,false,Rx,0,8,02,00,00,68,18,00,00,2C,
878000,00000158,false,Rx,0,8,20,78,06,C5,20,78,DF,05,
878000,00000188,false,Rx,0,6,05,05,80,08,00,76,00,00,
0,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,2E,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
0,0000013F,false,Rx,0,8,FF,82,00,79,00,00,00,2B,
0,00000156,false,Rx,0,6,00,22,00,01,07,2E,00,00,
881000,0000017C,false,Rx,0,8,00,00,06,C8,02,00,00,26,
881000,00000097,false,Rx,0,8,81,60,50,01,FA,00,00,28,
881000,000001DC,false,Rx,0,4,02,06,C8,3F,00,00,00,00,
0,0000015A,false,Rx,0,8,00,00,FF,79,00,00,00,0A,
0,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
0,0000018E,false,Rx,0,3,00,05,0C,00,00,00,00,00,
883000,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,0A,
883000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,00,
0,000001B0,false,Rx,0,7,81,10,7F,FF,00,00,0E,00,
0,000001D0,false,Rx,0,8,42,12,83,F5,08,3A,10,75,
0,000001E7,false,Rx,0,4,1A,40,68,05,00,00,00,00,
888000,00000305,false,Rx,0,2,0E,20,00,00,00,00,00,00,
888000,00000158,false,Rx,0,8,20,74,06,C5,20,74,DF,1C,
889000,00000188,false,Rx,0,6,05,05,80,08,00,49,00,00,
889000,000001C0,false,Rx,0,7,00,00,00,00,00,00,29,00,
889000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,3D,
889000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
0,0000013F,false,Rx,0,8,FF,83,00,79,FF,EC,00,31,
0,00000156,false,Rx,0,6,00,22,00,01,07,3D,00,00,
890000,0000017C,false,Rx,0,8,00,00,06,C6,02,00,00,37,
891000,00000097,false,Rx,0,8,81,60,50,01,FA,00,00,37,
0,0000015A,false,Rx,0,8,00,00,FF,79,00,00,00,19,
0,0000018E,false,Rx,0,3,00,06,1A,00,00,00,00,00,
892000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
895000,0000033D,false,Rx,0,4,00,00,00,23,00,00,00,00,
896000,000001A6,false,Rx,0,8,02,00,00,68,18,00,00,3B,
896000,00000294,false,Rx,0,8,00,15,00,03,EE,80,20,0A,
0,00000158,false,Rx,0,8,20,72,06,C4,20,72,DF,20,
0,00000188,false,Rx,0,6,05,05,80,08,00,58,00,00,
900000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,00,
900000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
0,0000013F,false,Rx,0,8,FF,83,00,79,00,0A,00,02,
0,00000156,false,Rx,0,6,00,22,00,00,07,01,00,00,
901000,0000017C,false,Rx,0,8,00,00,06,C7,02,00,00,09,
0,00000097,false,Rx,0,8,81,20,50,01,FC,00,00,0C,
0,000001DC,false,Rx,0,4,02,06,C7,03,00,00,00,00,
0,0000015A,false,Rx,0,8,00,00,FF,79,00,00,00,28,
0,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,19,
0,0000018E,false,Rx,0,3,00,06,29,00,00,00,00,00,
902000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,1F,
0,000001B0,false,Rx,0,7,81,10,7F,FF,00,00,1D,00,
0,000001D0,false,Rx,0,8,42,12,83,D1,08,BA,10,0A,
903000,000001E7,false,Rx,0,4,1A,00,68,18,00,00,00,00,
903000,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
908000,00000158,false,Rx,0,8,20,67,06,C3,20,67,DF,38,
908000,00000188,false,Rx,0,6,05,05,80,08,00,67,00,00,
909000,000001C0,false,Rx,0,7,00,00,00,00,00,00,38,00,
910000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,1F,
910000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
910000,0000013F,false,Rx,0,8,FF,83,00,79,00,00,00,1B,
910000,00000156,false,Rx,0,6,00,22,00,01,07,1F,00,00,
